year,month,pagecount_all_views,pagecount_desktop_views,pagecount_mobile_views,pageview_all_views,pageview_desktop_views,pageview_mobile_views
2020,4,0,0,0,11395117839,3798372613,7596745226
2020,5,0,0,0,9234280845,3078093615,6156187230
2020,6,0,0,0,8163985671,2721328557,5442657114
2020,7,0,0,0,7916808396,2638936132,5277872264
2020,8,0,0,0,7839174717,2613058239,5226116478
2020,9,0,0,0,7985350500,2661783500,5323567000
2020,10,0,0,0,9125173491,3041724497,6083448994
2020,11,0,0,0,9285871413,3095290471,6190580942
2020,12,0,0,0,8605473432,2868491144,5736982288
2021,1,0,0,0,8991539370,2997179790,5994359580
2021,2,0,0,0,8284849575,2761616525,5523233050
2021,3,0,0,0,9424324080,3141441360,6282882720
2021,4,0,0,0,8648143476,2882714492,5765428984
2021,5,0,0,0,8473248531,2824416177,5648832354
2021,6,0,0,0,7517914098,2505971366,5011942732
2021,7,0,0,0,8296753104,2765584368,5531168736
2021,8,0,0,0,8290241802,2763413934,5526827868
